data,cv,cc,vt,ID
2012-01-01,Ipatinga FC,Uberlândia EC,custo zero,72521
2011-05-01,Nacional-MG,Ipatinga FC,custo zero,72521
2011-01-01,Sem clube,Nacional-MG,-,72521
2010-06-01,Cruzeiro,Sem clube,-,72521
2010-05-01,Ipatinga FC,Cruzeiro,Fim do empréstimo,72521
2009-01-01,Cruzeiro,Ipatinga FC,Empréstimo,72521
2008-12-01,Prudente,Cruzeiro,Fim do empréstimo,72521
2008-06-01,Cruzeiro,Prudente,Valor de empréstimo:33 mil €,72521
2008-05-01,Vitória,Cruzeiro,Fim do empréstimo,72521
2008-01-01,Cruzeiro,Vitória,Empréstimo,72521
2007-12-01,Ipatinga FC,Cruzeiro,Fim do empréstimo,72521
2007-03-01,Cruzeiro,Ipatinga FC,Empréstimo,72521
2006-03-01,Flamengo,Cruzeiro,Fim do empréstimo,72521
2006-01-01,Cruzeiro,Flamengo,Empréstimo,72521
2005-12-01,Ipatinga FC,Cruzeiro,Fim do empréstimo,72521
2005-01-01,Cruzeiro,Ipatinga FC,Empréstimo,72521
2003-12-01,CA Juventus,Cruzeiro,Fim do empréstimo,72521
2003-01-01,Cruzeiro,CA Juventus,Empréstimo,72521
2002-01-01,Cruzeiro U20,Cruzeiro,-,72521
2014-01-02,Vasco da Gama,Boa Esporte,,77122
2023-06-30,Gondomar,Arouca,Fim do empréstimo,597106
2022-09-01,Arouca,Gondomar,Empréstimo,597106
2022-06-30,Pevidem,Arouca,Fim do empréstimo,597106
2022-01-15,Arouca,Pevidem,Empréstimo,597106
2020-07-13,Cruzeiro U20,Arouca,custo zero,597106
2020-06-30,Villa Nova-MG,Cruzeiro U20,Fim do empréstimo,597106
2020-01-01,Cruzeiro U20,Villa Nova-MG,Empréstimo,597106
2018-07-04,Remo,Cruzeiro U20,?,597106
2021-08-06,West Brom,Al-Hilal SFC,"18,00 mi. €",225984
2020-08-17,Sporting CP,West Brom,"8,25 mi. €",225984
2020-07-31,West Brom,Sporting CP,Fim do empréstimo,225984
2019-08-08,Sporting CP,West Brom,Valor de empréstimo:800 mil €,225984
2019-06-30,Nuremberga,Sporting CP,Fim do empréstimo,225984
2018-08-31,Sporting CP,Nuremberga,Valor de empréstimo:500 mil €,225984
2018-06-30,Chaves,Sporting CP,Fim do empréstimo,225984
2017-07-26,Sporting CP,Chaves,Empréstimo,225984
2015-10-01,Sporting B,Sporting CP,-,225984
2015-01-01,Sporting Sub19,Sporting B,-,225984
2013-07-01,Sporting Sub-17,Sporting Sub19,-,225984
2011-07-01,Sporting Sub-15,Sporting Sub-17,-,225984
2010-07-01,SCP Formação,Sporting Sub-15,-,225984
2022-06-30,Al-Dhaid,Al Nasr U17,Fim do empréstimo,873140
2021-07-01,Al Nasr U17,Al-Dhaid,Empréstimo,873140
2022-04-18,IAPE FC,Juventude-MA,Empréstimo,980216
2011-02-13,Corinthians,Fim de carreira,-,3140
2009-01-01,Sem clube,Corinthians,-,3140
2008-07-01,AC Milan,Sem clube,-,3140
2007-01-30,Real Madrid,AC Milan,"7,50 mi. €",3140
2002-08-31,Inter,Real Madrid,"45,00 mi. €",3140
1997-07-22,Barcelona,Inter,"26,50 mi. €",3140
1996-07-16,PSV,Barcelona,"15,00 mi. €",3140
1994-07-01,Cruzeiro,PSV,"5,48 mi. €",3140
1993-01-01,São Cristóvão,Cruzeiro,custo zero,3140
2021-01-01,Salgueiro-PE,Sem clube,custo zero,743732
2022-08-09,UE Engordany,Albanova,custo zero,651675
2022-01-01,Afro Napoli,UE Engordany,custo zero,651675
2021-08-02,AC Escaldes,Afro Napoli,-,651675
2020-01-04,Burgos CF,AC Escaldes,custo zero,651675
2019-08-01,FC Encamp,Burgos CF,custo zero,651675
2019-01-31,Sarmiento Junín,FC Encamp,custo zero,651675
2016-07-01,Olimpo,US Lusitanos,?,651675
2013-07-01,All Boys U20,Fiorentina U19,-,651675
,Fiorentina U19,Olimpo,custo zero,651675
,US Lusitanos,Sarmiento Junín,?,651675
2021-01-08,Cruzeiro U20,Fluminense U20,?,739439
2019-06-01,Betim EC U20,Cruzeiro U17,custo zero,739439
2022-09-12,Sem clube,Wolves,-,44779
2022-01-07,Atlético-MG,Sem clube,-,44779
2021-08-14,Sem clube,Atlético-MG,custo zero,44779
2021-01-01,Atlético Madrid,Sem clube,-,44779
2018-01-01,Chelsea,Atlético Madrid,"60,00 mi. €",44779
2014-07-01,Atlético Madrid,Chelsea,"38,00 mi. €",44779
2012-06-30,Rayo Vallecano,Atlético Madrid,Fim do empréstimo,44779
2012-01-24,Atlético Madrid,Rayo Vallecano,Empréstimo,44779
2010-07-01,Valladolid,Atlético Madrid,"1,00 mi. €",44779
2009-07-01,Atlético Madrid,Valladolid,custo zero,44779
2009-06-30,Albacete,Atlético Madrid,Fim do empréstimo,44779
2008-08-23,Atlético Madrid,Albacete,Empréstimo,44779
2008-06-30,Celta de Vigo,Atlético Madrid,Fim do empréstimo,44779
2007-08-25,Atlético Madrid,Celta de Vigo,Empréstimo,44779
2007-06-30,SC Braga,Atlético Madrid,Fim do empréstimo,44779
2007-01-02,Atlético Madrid,SC Braga,Empréstimo,44779
2007-01-01,SC Braga,Atlético Madrid,"1,50 mi. €",44779
2006-12-31,Penafiel,SC Braga,Fim do empréstimo,44779
2006-07-01,SC Braga,Penafiel,Empréstimo,44779
2006-02-01,Barcelona EC,SC Braga,?,44779
2014-01-02,Vasco da Gama,Boa Esporte,,77122
